ENSEMBL_ID	GENE_SYMBOL	DESCRIPTION	Prot_log2FC_25_KD	Prot_FDR_25_KD	Prot_log2FC_68_KD	Prot_FDR_68_KD	Prot_log2FC_25_OE	Prot_FDR_25_OE	Prot_log2FC_68_OE	Prot_FDR_68_OE	RNA_log2FC_25_KD	RNA_FDR_25_KD	RNA_log2FC_68_KD	RNA_FDR_68_KD	RNA_log2FC_25_OE	RNA_FDR_25_OE	RNA_log2FC_68_OE	RNA_FDR_68_OE	CFIm_Target
ENSG00000004700	RECQL	RecQ like helicase	-0.023913186	0.999980048	-0.029743567	0.971953827	-0.053916691	0.584691539	-0.182076279	0.070379684	-0.026740072	0.768348661	-0.106607036	0.046186665	0.183518887	0.016563087	-0.073457222	0.41336451	1
ENSG00000004897	CDC27	cell division cycle 27	-0.087248677	0.999980048	0.043768157	0.94938821	-0.12965819	0.52316966	0.205071767	0.104595094	-0.190810144	0.004616404	-0.122875802	0.008890637	-0.17209135	0.013313357	-0.138452451	0.060514078	1
ENSG00000005059	MCUB	mitochondrial calcium uniporter dominant negative subunit beta	-0.036706141	0.999980048	-0.016105398	0.96722378	NA	NA	NA	NA	-0.067586431	0.686797296	-0.041801165	0.772841446	0.220033646	0.101781071	0.326524593	0.015523838	1
ENSG00000005156	LIG3	DNA ligase 3	-0.031514829	0.999980048	-0.038011116	0.938198398	-0.040604093	0.592132918	-0.540075535	0.001206503	0.304357924	0.000716287	0.006080108	0.950235134	0.036594498	0.761384735	-0.184490761	0.075335095	1
ENSG00000006453	BAIAP2L1	BAR/IMD domain containing adaptor protein 2 like 1	0.1490727	0.999980048	0.145759777	0.937693518	-0.004455647	0.971282891	-0.213343717	0.022110991	0.342377826	8.99E-05	0.273322378	4.59E-05	0.671202545	1.06E-15	-0.171454967	0.102218367	1
ENSG00000007168	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1	0.072013918	0.999980048	0.201880453	0.937693518	0.096155001	0.646539895	0.034702687	0.825246076	0.48647627	2.05E-12	0.522679111	6.54E-22	0.199610073	0.00938953	-0.193428132	0.024757597	1
ENSG00000008282	SYPL1	synaptophysin like 1	NA	NA	NA	NA	0.033827308	0.881998045	0.095073946	0.729575834	0.480526693	3.08E-07	0.75369218	4.32E-28	0.021911649	0.872329233	-0.069477425	0.620548085	1
ENSG00000008294	SPAG9	sperm associated antigen 9	0.040871415	0.999980048	0.086687609	0.937693518	-0.075654165	0.359164685	-0.078825824	0.330713538	0.166010486	0.177497406	0.124192688	0.196601517	0.060844172	0.677582378	-0.116272313	0.461543133	1
ENSG00000009780	FAM76A	family with sequence similarity 76 member A	0.032805765	0.999980048	-0.165305369	0.937693518	-0.038812045	0.79997845	-0.036636154	0.674168068	0.025759941	0.897158132	0.011544996	0.950149818	0.320176177	0.023402292	0.036891975	0.906940909	1
ENSG00000009830	POMT2	protein O-mannosyltransferase 2	NA	NA	NA	NA	-0.064147298	0.586482286	0.229265276	0.248671274	0.213963971	0.078444223	0.151313298	0.118745538	0.288734351	0.010818487	0.013144363	0.96172791	1
